ADDRESS,POINTS
1041 CANFIELD CR SW,-582.788 -11089.933|-617.636 -11089.910|-617.650 -11100.596|-582.795 -11100.618
1043 CANFIELD CR SW,-582.795 -11100.618|-617.650 -11100.596|-617.657 -11108.491|-582.802 -11108.513
315 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
316 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
318 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
411 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
402 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
408 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
405 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
401 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
403 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
404 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
406 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
407 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
409 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
410 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
412 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
505 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
508 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
502 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
511 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
507 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
509 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
510 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
512 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
501 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
503 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
504 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
506 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
611 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
608 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
614 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
605 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
617 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
602 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
609 13104 ELBOW DR SW,-649.799 -12465.536|-822.652 -12465.102|-822.673 -12474.243|-822.939 -12602.028|-822.960 -12612.669|-782.995 -12670.368|-681.088 -12676.184|-597.524 -12656.135|-544.865 -12674.071|-535.889 -12677.129|-532.247 -12671.936|-523.068 -12658.837|-530.422 -12653.478|-539.971 -12645.994|-549.220 -12638.144|-558.147 -12629.927|-566.752 -12621.376|-575.015 -12612.491|-582.921 -12603.284|-590.464 -12593.766|-597.622 -12583.970|-604.396 -12573.896|-610.771 -12563.566|-616.734 -12552.991|-622.277 -12542.183|-627.394 -12531.175|-632.078 -12519.966|-636.321 -12508.591|-640.110 -12497.049|-646.989 -12474.676
