ADDRESS,POINTS
537 PANATELLA WK NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
539 PANATELLA WK NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
541 PANATELLA WK NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
543 PANATELLA WK NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
191 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
189 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
187 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
185 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
183 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
181 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
179 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
177 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
157 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
155 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
153 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
151 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
173 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
171 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
169 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
167 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
165 PANATELLA SQ NW,-193.565 13745.154|-195.544 13735.669|-197.165 13726.117|-197.990 13720.224|-198.682 13714.309|-199.556 13704.112|-200.032 13693.893|-200.108 13687.277|-200.101 13680.194|-200.087 13670.442|-200.087 13669.341|-200.087 13666.940|-199.493 13666.940|-194.076 13666.940|-168.085 13666.962|-155.348 13666.817|-142.619 13666.350|-129.903 13665.561|-117.208 13664.460|-110.428 13663.548|-103.724 13662.180|-97.125 13660.346|-90.673 13658.077|-86.366 13656.521|-84.276 13655.776|-84.101 13655.709|-78.607 13653.863|-73.063 13652.184|-67.471 13650.661|-61.837 13649.293|-56.161 13648.103|-50.456 13647.080|-44.724 13646.213|-38.971 13645.512|-30.491 13644.756|-21.991 13644.356|-19.167 13644.434|-16.371 13644.778|-13.609 13645.379|-10.925 13646.235|-9.394 13646.724|-7.828 13647.080|-6.235 13647.291|-4.634 13647.358|-1.977 13647.158|0.623 13646.569|3.105 13645.601|5.412 13644.278|5.530 13674.012|-4.508 13691.503|-11.526 13703.778|-14.036 13708.171|-161.178 13802.164|-162.695 13803.131|-163.171 13803.442|-169.749 13793.168|-174.768 13785.329|-175.348 13784.439|-180.409 13776.511|-180.885 13775.755|-183.338 13771.618|-185.596 13767.360|-187.274 13763.835|-189.469 13758.564|-191.748 13751.937
