ADDRESS,POINTS
313 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
315 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
317 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
318 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
316 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
314 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
312 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
310 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
308 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
306 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
304 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
302 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
401 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
403 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
405 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
407 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
409 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
411 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
413 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
415 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
417 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
418 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
416 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
414 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
412 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
410 55 ARBOUR GROVE CL NW,-9694.777 8893.731|-9705.473 8893.708|-9655.120 8763.354|-9652.792 8760.753|-9650.353 8758.251|-9646.361 8755.560|-9644.984 8754.826|-9643.481 8754.370|-9641.922 8754.225|-9640.363 8754.381|-9638.867 8754.837|-9637.483 8755.571|-9636.281 8756.572|-9635.288 8757.772|-9621.028 8779.178|-9617.106 8784.648|-9612.828 8789.852|-9608.207 8794.745|-9603.265 8799.326|-9598.029 8803.551|-9592.520 8807.421|-9586.760 8810.913|-9580.776 8814.015|-9558.603 8824.556|-9553.066 8827.414|-9547.739 8830.650|-9542.636 8834.230|-9537.792 8838.144|-9533.220 8842.370|-9528.949 8846.895|-9524.985 8851.710|-9521.357 8856.769|-9514.507 8867.066|-9542.546 8885.769|-9545.614 8887.670|-9548.816 8889.327|-9552.136 8890.751|-9555.548 8891.918|-9559.036 8892.841|-9562.587 8893.497|-9566.173 8893.897|-9569.780 8894.020
